Sex,Age,AI1,AI2,AI3,AI4,AI3,PCGPA,Failures,Reason,Test Preparation Course,Traveltime,Studytime,Medu,Fedu,Mjob,Fjob,Activities,Internet,Freetme,Absence,CGPA
M,16,53,100,51,83,51,6.43,0,home,none,3,1,3,3,teacher,other,yes,yes,3,8,9
F,17,54,100,70,90,70,7.76,1,home,none,2,1,4,4,services,teacher,no,yes,2,24,5.98
F,16,74,100,65,75,65,9.56,0,reputation,none,1,2,4,4,teacher,teacher,no,yes,5,0,8.23
F,16,50,100,65,44,65,9.23,0,home,completed,1,2,4,3,health,other,yes,yes,3,2,6.65
F,16,55,100,47,74,47,6.54,0,reputation,none,1,2,2,3,other,other,yes,no,4,6,7.43
F,17,77,100,70,79,70,7.98,0,course,none,1,2,1,1,other,other,no,no,4,4,9.12
F,17,49,100,67,91,67,5.76,0,reputation,none,1,1,2,2,other,other,no,yes,3,18,5.21
F,16,66,100,82,68,82,8.45,0,reputation,none,2,4,2,2,services,services,yes,yes,3,6,8.54
F,17,77,100,75,95,75,6.32,1,home,completed,1,3,3,4,at_home,services,no,yes,4,28,6.76
F,16,74,100,84,62,84,7.12,3,course,none,1,2,3,1,services,other,no,yes,3,5,7.21
F,16,85,100,81,75,81,9.01,0,other,completed,1,2,4,3,teacher,other,yes,yes,3,10,9.43
F,16,77,100,84,84,84,5.98,0,home,none,2,1,1,1,at_home,other,no,no,3,6,5.89
F,17,64,100,66,76,66,8.76,0,reputation,none,2,3,4,3,teacher,other,yes,yes,4,6,8.43
F,19,61,100,68,64,68,6.21,0,reputation,completed,1,4,3,3,other,other,yes,yes,3,10,6.54
M,17,97,100,85,65,85,7.43,0,home,none,1,2,4,4,services,other,no,yes,3,13,7.65
F,16,66,100,70,34,70,9.56,0,reputation,none,1,2,2,2,other,other,no,yes,3,0,9.34
M,18,62,100,64,74,64,5.32,1,home,completed,1,2,2,2,services,other,yes,yes,4,15,5.32
F,17,64,100,77,52,77,8.65,0,other,completed,1,1,4,4,services,other,no,no,2,12,8.65
F,17,55,100,60,71,60,6.87,0,reputation,completed,2,2,3,2,other,other,no,yes,4,2,6.21
F,17,53,100,66,54,66,7.21,2,reputation,completed,1,2,4,3,other,other,no,yes,4,22,7.98
M,18,71,100,77,83,77,9.34,1,home,none,1,2,3,3,services,health,no,yes,2,13,9.12
F,17,66,100,68,70,68,5.11,0,home,none,2,1,2,3,at_home,other,no,no,3,3,5.45
F,17,68,100,62,67,62,8.9,0,course,completed,1,3,2,2,at_home,at_home,yes,yes,3,4,8.34
F,17,89,100,83,67,83,6.43,0,reputation,completed,2,2,2,1,at_home,services,yes,yes,2,2,6.43
F,17,65,100,74,67,74,7.65,1,reputation,none,1,3,1,1,at_home,other,yes,no,3,0,7.76
F,16,43,100,44,67,44,9.12,0,other,none,1,2,2,3,services,teacher,no,yes,3,2,9.56
M,18,79,100,83,67,83,5.76,0,home,none,2,2,2,2,other,other,no,yes,3,0,5.67
F,16,99,100,97,67,97,8.14,0,home,completed,1,3,4,4,teacher,services,yes,yes,3,0,8.01
F,18,82,100,72,67,72,6.65,1,reputation,none,1,2,3,1,other,other,yes,yes,3,16,6.87
F,17,35,100,39,67,39,7.32,0,course,none,1,2,3,2,other,other,yes,yes,3,10,7.32
M,17,61,100,73,67,73,9,0,reputation,none,1,2,2,3,services,services,no,yes,3,2,9.12
M,18,76,100,81,67,81,5.43,0,course,none,4,2,2,1,at_home,other,yes,yes,3,14,5.11
F,17,94,100,82,67,82,8.36,0,course,completed,2,3,2,1,other,other,yes,yes,2,10,8.76
F,17,75,100,78,67,78,6.32,0,reputation,none,1,2,4,3,health,other,yes,yes,2,14,6.32
M,17,81,100,70,67,70,7.54,0,course,none,2,2,2,2,other,other,yes,yes,5,4,7.12
M,17,35,100,33,67,33,9.23,0,reputation,none,1,2,4,4,teacher,teacher,yes,yes,5,14,9
M,16,76,100,72,67,72,5.98,0,reputation,none,1,2,4,4,health,other,yes,yes,2,2,5.98
M,16,58,100,82,67,82,8.01,0,home,completed,2,2,1,1,other,other,no,yes,4,18,8.23
M,16,100,100,90,67,90,6.54,0,reputation,none,2,3,3,2,at_home,other,yes,yes,3,10,6.65
M,17,53,100,64,67,64,7.76,0,home,none,1,2,2,2,other,other,yes,yes,4,4,7.43
F,16,82,100,96,67,96,9.45,0,home,completed,1,1,2,1,other,other,no,yes,5,20,9.12
F,17,76,100,64,67,64,5.67,0,course,none,3,2,2,1,at_home,services,yes,no,1,2,5.21
M,18,83,100,75,67,75,8.23,1,reputation,none,1,2,2,2,other,services,no,yes,5,0,8.54
M,17,72,100,82,67,82,6.76,0,course,completed,2,2,4,3,health,other,yes,yes,5,14,6.76
M,17,76,100,83,67,83,7.43,0,course,none,2,2,4,4,teacher,other,no,yes,3,2,7.21
M,16,66,100,58,67,58,9.67,0,course,none,1,1,4,3,teacher,other,yes,yes,4,0,9.43
M,16,63,100,63,67,63,5.21,0,course,none,1,1,4,4,services,services,yes,yes,3,0,5.89
F,18,36,100,28,67,28,8.54,0,course,none,2,3,2,1,other,other,no,yes,4,0,8.43
M,16,68,100,71,67,71,6.98,0,course,none,3,1,2,1,other,other,no,yes,3,6,6.54
M,17,40,100,42,67,42,7.21,0,course,none,2,1,2,3,other,other,no,yes,2,4,7.65
M,22,68,100,61,67,61,9.12,3,other,completed,1,1,3,1,services,services,no,yes,4,16,9.34
M,18,56,100,52,67,52,5.89,1,course,none,1,2,3,3,other,services,no,yes,3,8,5.32
M,16,74,100,80,67,80,8.43,0,other,none,1,1,0,2,other,other,no,yes,3,0,8.65
M,18,53,100,71,67,71,6.32,1,course,completed,2,1,3,2,services,other,no,yes,4,0,6.21
M,16,88,100,70,67,70,7.98,0,reputation,none,3,2,3,3,at_home,other,no,yes,3,6,7.98
M,18,67,100,61,67,61,9.34,1,other,completed,1,1,2,1,services,services,no,yes,2,4,9.12
M,16,60,100,65,67,65,5.45,0,course,none,2,1,2,1,other,other,yes,no,3,0,5.45
M,17,51,100,54,67,54,8.65,0,course,none,1,1,2,1,other,other,no,yes,4,0,8.34
M,17,53,100,59,67,59,6.54,1,course,none,2,1,1,1,health,other,yes,yes,4,2,6.43
F,17,80,100,74,67,74,7.12,0,reputation,none,1,4,4,2,teacher,services,yes,yes,2,6,7.76
M,19,69,100,67,67,67,9.56,0,reputation,completed,1,2,4,3,services,at_home,no,yes,3,12,9.56
M,18,64,100,70,67,70,5.32,0,home,none,1,2,2,1,other,other,yes,yes,2,8,5.67
F,17,80,100,89,67,89,8.76,0,course,completed,1,4,2,2,services,services,yes,yes,4,0,8.01
F,18,58,100,62,67,62,6.87,0,home,completed,1,2,4,3,services,other,no,yes,1,21,6.87
M,18,39,100,50,67,50,7.32,0,course,completed,1,2,4,3,teacher,other,no,yes,3,2,7.32
M,18,64,100,50,67,50,9.01,0,course,none,1,3,3,2,other,other,yes,no,3,1,9.12
F,17,61,100,63,67,63,5.76,0,home,none,1,3,3,3,other,other,yes,no,2,4,5.11
F,18,90,100,88,67,88,8.14,0,home,none,1,3,2,2,at_home,services,yes,yes,3,0,8.76
M,18,73,100,64,67,64,6.43,0,reputation,none,2,2,3,4,other,other,yes,yes,2,13,6.32
M,17,73,100,70,67,70,7.65,0,other,none,1,2,3,1,services,other,yes,yes,4,2,7.12
F,18,67,100,77,67,77,9.12,0,reputation,none,2,2,4,4,teacher,other,yes,yes,3,8,9
M,18,57,100,62,67,62,5.98,0,reputation,completed,1,2,4,2,health,other,yes,yes,4,10,5.98
F,18,65,100,72,67,72,8.23,0,reputation,none,2,2,2,1,other,other,no,yes,3,0,8.23
F,19,71,100,71,67,71,6.65,2,home,none,1,2,3,3,other,services,yes,yes,3,15,6.65
F,18,59,100,72,67,72,7.54,0,reputation,none,1,4,2,3,other,services,yes,yes,5,4,7.43
F,18,74,100,65,67,65,9.45,0,home,none,2,2,1,1,other,other,no,no,4,2,9.12
M,17,93,100,93,67,93,5.11,0,home,none,1,2,1,2,at_home,at_home,yes,no,5,2,5.21
F,17,85,100,92,67,92,8.9,0,reputation,completed,2,2,2,4,at_home,health,no,yes,3,2,8.54
F,17,76,100,79,67,79,6.32,0,course,none,2,2,2,2,services,other,no,yes,4,6,6.76
F,18,58,100,70,67,70,7.76,0,home,completed,2,2,3,2,other,services,no,yes,1,75,7.21
M,18,72,100,77,67,77,9.23,0,home,completed,2,1,4,4,teacher,services,yes,yes,2,22,9.43
F,18,40,100,47,67,47,5.43,1,reputation,none,1,2,4,4,health,health,yes,yes,4,15,5.89
M,18,75,100,66,67,66,8.36,0,course,none,2,1,4,3,teacher,services,yes,yes,2,8,8.43
M,17,85,100,80,67,80,6.54,0,home,none,2,1,4,1,services,other,yes,yes,5,30,6.54
M,17,100,100,100,67,100,7.43,1,home,none,1,1,3,2,teacher,services,no,yes,4,19,7.65
F,18,53,100,66,67,66,9.56,0,reputation,none,2,4,1,1,at_home,other,yes,no,2,1,9.34
F,18,40,100,39,67,39,5.67,0,home,completed,2,2,1,1,other,other,yes,yes,4,4,5.32
F,17,49,100,49,67,49,8.01,0,course,none,1,2,2,2,other,other,no,yes,4,4,8.65
M,17,77,100,80,67,80,6.87,0,reputation,completed,1,2,1,1,other,other,no,yes,3,2,6.21
F,18,82,100,84,67,84,7.21,0,other,completed,1,3,2,2,at_home,at_home,no,yes,3,5,7.98
F,17,55,100,42,67,42,9.34,0,reputation,none,1,3,1,1,services,teacher,no,yes,3,6,9.12
M,18,62,100,77,67,77,5.21,0,reputation,none,1,3,2,1,services,services,yes,yes,2,6,5.45
M,18,69,100,59,67,59,8.54,0,reputation,completed,1,2,4,4,teacher,teacher,yes,yes,4,9,8.34
M,18,78,100,76,67,76,6.98,0,home,none,1,2,4,2,teacher,other,yes,yes,3,11,6.43
F,17,71,100,82,67,82,7.32,0,reputation,none,1,3,4,3,health,services,no,yes,2,0,7.76
F,18,59,100,66,67,66,9.12,1,reputation,completed,1,2,2,1,services,at_home,no,yes,4,12,9.56
F,17,60,100,70,67,70,5.89,0,reputation,none,2,4,3,1,services,other,no,no,1,6,5.67
M,18,43,100,60,67,60,8.43,0,reputation,completed,2,3,3,2,services,other,yes,yes,4,8,8.01
M,17,77,100,86,67,86,6.32,0,home,none,1,1,3,3,health,other,no,yes,4,4,6.87
F,19,50,100,46,67,46,7.98,0,reputation,completed,2,2,4,4,health,other,yes,yes,3,0,7.32
F,18,56,100,52,67,52,9.34,0,home,completed,2,2,4,3,other,other,no,yes,4,10,9.12
F,18,69,100,50,67,50,5.45,0,reputation,completed,1,4,4,3,other,other,no,yes,3,0,5.11
M,18,0,100,39,67,39,8.65,0,home,none,1,1,4,4,teacher,teacher,no,yes,4,5,8.76
F,18,43,100,24,67,24,6.54,0,home,completed,1,2,4,4,health,other,no,yes,2,14,6.32
M,17,48,100,40,67,40,7.12,0,home,none,2,1,4,4,other,teacher,no,yes,1,0,7.12
F,17,55,100,49,67,49,9.56,0,reputation,completed,2,3,4,2,other,other,no,yes,3,0,9
F,17,73,100,66,67,66,5.32,0,reputation,none,1,4,3,2,health,health,yes,yes,2,0,5.98
M,19,71,100,66,67,66,8.76,1,home,completed,1,2,3,3,other,other,yes,yes,4,20,8.23
F,18,54,100,60,67,60,6.87,1,reputation,none,1,2,2,4,services,at_home,yes,yes,4,8,6.65
M,20,66,100,63,67,63,7.32,0,course,completed,1,1,3,2,services,other,yes,no,5,0,7.43
M,19,63,100,67,67,67,9.01,1,reputation,none,2,1,4,4,teacher,services,no,yes,3,38,9.12
M,19,66,100,73,67,73,5.76,1,reputation,none,1,2,3,3,other,services,yes,no,5,0,5.21
F,19,79,100,75,67,75,8.14,1,reputation,none,1,2,1,1,at_home,other,yes,yes,4,18,8.54
F,19,73,100,70,67,70,6.43,1,home,none,1,2,1,2,services,services,yes,no,2,0,6.76
F,19,36,100,53,67,53,7.65,0,other,none,3,2,2,1,at_home,other,no,yes,4,20,7.21
M,19,50,100,43,67,43,9.12,1,course,completed,1,2,1,2,other,services,no,yes,5,3,9.43
F,19,87,100,80,67,80,5.98,1,reputation,completed,2,2,3,2,services,other,no,yes,2,22,5.89
F,19,71,100,63,67,63,8.23,2,home,completed,1,3,1,1,at_home,health,no,yes,1,14,8.43
F,19,85,100,94,67,94,6.65,1,reputation,none,1,3,2,3,other,other,no,yes,1,40,6.54
F,18,58,100,64,67,64,7.54,0,course,completed,2,2,2,1,services,other,yes,yes,3,0,7.65
F,18,86,100,81,67,81,9.45,0,course,none,1,3,4,3,other,other,yes,yes,3,9,9.34
F,17,64,100,89,67,89,5.67,0,course,none,1,3,3,4,at_home,services,yes,yes,3,0,5.32
F,18,83,100,79,67,79,8.01,0,course,none,1,2,4,4,teacher,other,no,yes,4,2,8.65
F,17,58,100,49,67,49,6.76,0,course,completed,1,2,4,3,services,services,no,yes,2,23,6.21
F,17,59,100,81,67,81,7.43,0,course,none,1,2,2,2,other,other,no,no,2,12,7.98
F,17,40,100,54,67,54,9.67,0,course,none,1,3,2,2,services,services,yes,yes,3,3,9.12
F,17,82,100,85,67,85,5.21,0,course,none,1,3,3,1,services,services,no,yes,4,1,5.45
F,17,87,100,80,67,80,8.54,0,home,none,2,3,0,2,at_home,at_home,no,yes,3,0,8.34
M,18,62,100,64,67,64,6.98,0,course,none,1,3,4,4,other,other,yes,yes,3,3,6.43
M,17,76,100,78,67,78,7.21,0,reputation,none,1,1,3,3,other,services,yes,yes,3,3,7.76
M,17,63,100,60,67,60,9.12,0,course,none,4,1,2,2,services,other,no,yes,4,8,9.56
F,17,58,100,59,67,59,7.32,0,course,completed,1,3,4,4,teacher,services,yes,yes,4,7,5.67
F,17,61,100,65,67,65,9.12,0,course,none,2,3,4,4,teacher,teacher,no,yes,3,4,8.01
M,18,78,100,71,67,71,5.89,0,course,none,1,4,2,2,other,other,yes,yes,5,2,6.87
F,17,78,100,81,67,81,8.43,0,course,none,1,3,2,4,at_home,other,no,yes,4,7,7.32
F,18,56,100,43,67,43,6.54,0,home,completed,1,2,3,3,services,services,yes,yes,3,0,9.12
F,18,96,100,82,67,82,7.65,0,home,none,1,2,2,2,other,other,yes,yes,3,0,5.11
F,18,48,100,40,67,40,9.34,0,course,none,2,4,2,2,at_home,other,yes,no,4,0,8.76
F,17,70,100,72,67,72,5.32,0,course,none,1,3,3,4,services,other,no,yes,4,16,6.32
F,19,43,100,58,100,58,8.65,1,home,completed,1,3,3,1,services,at_home,no,no,4,12,7.12
F,17,45,100,49,100,49,6.21,0,home,none,1,2,3,2,other,other,no,yes,3,0,9
F,18,58,100,62,100,62,7.98,0,home,none,1,4,3,3,services,services,no,yes,3,7,5.98
F,17,70,100,80,100,80,9.12,0,home,completed,1,2,3,2,other,other,no,yes,3,4,8.23
F,19,60,100,58,100,58,5.45,1,home,none,1,3,2,1,services,services,yes,yes,3,4,6.65
M,18,52,100,47,100,47,8.34,1,home,none,1,2,4,4,teacher,services,yes,yes,3,0,7.43
M,18,61,100,54,100,54,6.43,0,home,completed,1,2,3,4,services,other,yes,yes,3,11,9.12
F,17,55,100,61,100,61,7.76,1,home,completed,1,2,2,2,at_home,at_home,no,yes,3,0,5.21
F,18,80,100,79,100,79,9.56,0,course,none,1,3,2,3,at_home,other,no,yes,3,4,8.54
F,18,63,100,54,100,54,5.67,0,other,none,1,3,3,2,other,services,no,yes,4,7,6.76
M,18,79,100,87,100,87,8.01,0,course,none,1,3,4,3,teacher,services,no,yes,3,9,7.21
M,18,74,100,72,100,72,6.87,0,course,completed,1,3,4,3,teacher,other,no,yes,4,0,9.43
F,17,46,100,64,100,64,7.32,0,reputation,none,1,3,4,3,health,other,yes,yes,4,0,5.89
M,18,72,100,92,100,92,9.43,1,course,none,2,1,3,2,other,other,no,yes,5,10,8.43
M,19,58,100,64,100,64,5.11,3,home,none,3,2,1,1,other,services,no,yes,4,8,6.54
M,17,47,100,47,100,47,8.76,0,course,none,2,2,3,3,health,other,no,yes,5,2,7.65
M,18,68,100,84,100,84,6.32,1,course,completed,1,1,1,3,at_home,services,no,yes,3,7,9.34
M,19,68,100,67,100,67,7.12,1,home,none,3,1,1,1,other,other,no,yes,4,4,5.32
M,17,65,100,68,100,68,9,0,home,none,2,2,4,3,services,other,yes,yes,5,4,8.65
F,18,50,100,51,100,51,5.98,0,course,none,1,2,3,3,services,services,no,no,3,0,6.21
F,17,48,100,68,100,68,8.23,0,other,none,2,2,4,4,teacher,services,yes,yes,3,4,7.98
F,17,58,100,64,100,64,6.65,0,reputation,completed,2,2,3,2,services,other,no,no,2,2,9.12
M,18,71,100,68,100,68,7.43,0,home,none,2,1,1,1,other,services,no,yes,3,4,5.45
F,18,58,100,48,100,48,9.12,0,course,none,2,3,1,1,at_home,services,no,yes,3,0,8.34
F,18,66,100,83,100,83,5.21,0,course,none,3,2,1,4,at_home,other,no,no,3,0,6.43
M,18,44,100,43,100,43,8.54,1,other,completed,2,2,1,1,at_home,other,yes,no,4,2,7.76
F,18,51,100,66,100,66,6.87,0,other,none,2,2,3,3,services,services,no,yes,3,0,9.56
F,17,78,100,77,100,77,7.32,0,course,none,1,2,4,4,at_home,at_home,yes,yes,3,0,5.67
F,17,72,100,65,100,65,9.23,0,course,none,2,2,1,2,other,services,no,no,2,0,8.01
M,18,60,100,67,100,67,5.32,0,course,completed,2,2,1,3,at_home,other,no,no,3,4,6.87
M,18,55,100,60,100,60,8.57,0,other,completed,2,3,4,4,teacher,services,no,yes,2,0,7.32
F,17,64,100,64,100,64,6.54,1,reputation,none,3,1,1,1,other,services,no,yes,2,0,9.12
F,18,57,100,60,100,60,7.12,0,course,none,2,1,2,3,at_home,services,no,yes,2,0,5.11
F,18,70,100,74,100,74,9.45,0,other,none,3,2,4,4,other,teacher,no,yes,2,10,8.76
F,19,84,100,76,100,76,5.76,2,home,none,2,2,3,2,services,services,yes,no,2,4,6.32
M,18,66,100,76,100,76,8.14,0,other,completed,3,1,1,2,at_home,services,yes,yes,3,3,7.12
F,17,56,100,73,100,73,6.65,0,home,none,1,3,2,2,other,at_home,yes,no,4,8,9
F,17,59,100,56,100,56,7.54,0,course,completed,1,1,1,2,other,other,yes,yes,5,14,5.98
F,18,87,100,84,100,84,9.01,0,reputation,none,2,3,4,4,other,other,no,yes,4,0,8.23
F,18,73,100,64,100,64,5.43,0,home,none,4,3,1,1,other,other,no,yes,3,2,6.65
F,20,85,100,89,100,89,8.98,2,course,none,2,3,4,2,health,other,no,yes,4,4,7.43
F,18,49,100,42,100,42,6.32,0,course,completed,1,2,4,4,teacher,services,yes,yes,4,4,9.12
F,18,82,100,90,100,90,7.76,0,home,none,1,2,3,3,other,other,no,yes,1,0,5.21
F,17,80,100,90,100,90,9.12,0,reputation,none,1,2,3,1,at_home,other,yes,yes,5,17,8.54
M,18,48,100,43,100,43,5.89,0,home,none,1,2,4,4,teacher,teacher,yes,yes,2,4,6.76
M,18,85,100,94,100,94,8.43,0,other,completed,2,1,2,1,other,other,yes,yes,4,5,7.21
M,17,70,100,76,100,76,6.54,0,home,none,2,2,2,3,other,services,yes,yes,4,2,9.43
M,19,89,100,81,100,81,7.43,1,other,none,2,1,1,1,other,services,no,no,3,0,5.89
M,18,72,100,79,100,79,9.34,1,home,none,2,1,4,2,other,other,no,no,4,14,8.43
F,18,80,100,87,100,87,5.32,0,other,none,2,3,2,2,at_home,other,no,no,3,2,6.54
F,18,43,100,50,100,50,8.65,0,reputation,none,3,1,4,4,teacher,at_home,yes,yes,4,7,7.65
F,19,54,61,61,100,61,6.21,1,course,none,1,3,2,3,services,other,yes,yes,4,0,9.34
F,18,82,82,78,100,78,7.98,0,course,none,1,2,3,1,teacher,services,no,yes,3,0,5.32
F,18,74,80,78,100,78,9.12,1,course,none,2,2,1,1,other,other,yes,no,1,0,8.65
M,20,63,62,64,100,64,5.45,2,course,completed,1,2,2,2,services,services,no,no,5,11,6.21
M,17,47,56,51,100,51,8.34,0,course,none,2,1,3,1,services,services,no,yes,4,3,7.98
M,21,13,29,23,100,23,6.43,3,course,none,1,1,1,1,other,other,no,no,5,3,9.12
M,18,67,58,56,100,56,7.76,0,course,completed,3,1,3,2,services,other,no,yes,4,0,5.45
M,19,57,59,54,100,54,9.56,0,course,completed,1,1,1,1,other,at_home,no,yes,2,5,8.34
